City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
648,Mayumba,GA,72.57,broken clouds,-3.432,10.6554,Résidence Hoteliere Matalila
649,Ardmore,US,86.4,broken clouds,34.1743,-97.1436,Hampton Inn & Suites Ardmore
651,Palauig,PH,81.36,heavy intensity rain,15.435,119.9045,Blue Spruce Beach Resort
652,Portales,US,83.1,clear sky,34.1862,-103.3344,Best Western Plus Portales Inn
654,Ciudad Valles,MX,85.05,few clouds,21.9833,-99.0167,HOSTAL CASA HUASTECA
656,Eydhafushi,MV,83.25,overcast clouds,5.1033,73.0708,Madi Finolhu Guest House
664,Bonthe,SL,74.95,moderate rain,7.5264,-12.505,Council Guesthouse
665,Taiobeiras,BR,74.86,overcast clouds,-15.8078,-42.2331,Pousada Village
666,Izazi,TZ,73.96,broken clouds,-7.2,35.7333,Amoni Guest House
671,Stephenville,US,87.89,broken clouds,32.2207,-98.2023,Hampton Inn & Suites Stephenville
672,Guarapari,BR,75.9,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
676,Atbasar,KZ,75.43,clear sky,51.8,68.3333,Atbasar Ulitsa Istochnaya
677,Cozumel,MX,87.87,broken clouds,20.5083,-86.9458,El Cozumeleño Beach Resort
