City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Abapo,BO,-18.8333,-63.4667,89.53,20,0,9.91,clear sky
145,Benguela,AO,-12.5763,13.4055,72.82,76,61,4.09,broken clouds
146,Pimentel,PE,-6.8367,-79.9342,72.0,73,59,5.99,broken clouds
147,Hacari,CO,8.3233,-73.1489,81.52,53,86,5.88,overcast clouds
148,Ilulissat,GL,69.2167,-51.1,46.42,76,75,4.61,light rain
149,Yar-Sale,RU,66.8333,70.8333,50.22,93,95,28.5,overcast clouds
150,Torbay,CA,47.6666,-52.7314,64.76,93,93,1.01,overcast clouds
151,Chuy,UY,-33.6971,-53.4616,67.42,64,6,7.7,clear sky
152,Kaeo,NZ,-35.1,173.7833,43.32,95,2,3.53,clear sky
153,Camopi,GF,3.1655,-52.3158,88.79,54,26,5.1,scattered clouds
154,Caraguatay,AR,-26.6059,-54.7809,83.08,22,0,6.22,clear sky
155,Yuancheng,CN,36.652,107.7896,66.52,88,50,9.13,scattered clouds
156,Kaitangata,NZ,-46.2817,169.8464,39.92,76,61,5.28,broken clouds
157,Port Macquarie,AU,-31.4333,152.9167,44.38,100,40,0.0,scattered clouds
158,Malmesbury,ZA,-33.4608,18.7271,53.94,74,0,4.7,clear sky
159,Khatanga,RU,71.9667,102.5,51.94,77,43,9.22,scattered clouds
160,Thompson,CA,55.7435,-97.8558,75.52,29,28,11.61,scattered clouds
161,General Roca,AR,-39.0333,-67.5833,58.93,37,100,16.8,overcast clouds
162,Sarangani,PH,5.4033,125.4636,83.98,76,100,12.53,overcast clouds
163,Kalmar,SE,56.6616,16.3616,73.33,65,20,9.22,few clouds
164,Prince Albert,CA,53.2001,-105.7677,76.55,20,1,22.68,clear sky
165,Pailon,BO,-17.65,-62.75,91.2,23,0,14.56,clear sky
166,Estelle,US,29.8458,-90.1067,93.2,63,1,1.99,clear sky
167,Hami,CN,42.8,93.45,87.62,38,95,16.49,overcast clouds
168,Kingman,US,35.1894,-114.053,89.29,42,1,12.66,clear sky
169,Serdobsk,RU,52.4586,44.2169,64.26,60,1,4.54,clear sky
170,Wuwei,CN,37.9281,102.6414,78.6,42,0,2.53,clear sky
171,Nome,US,64.5011,-165.4064,46.47,87,90,10.36,overcast clouds
172,Volchikha,RU,52.0333,80.3833,67.77,78,99,4.92,overcast clouds
173,Mount Isa,AU,-20.7333,139.5,53.37,54,2,0.0,clear sky
174,Geraldton,AU,-28.7667,114.6,59.41,88,75,6.91,broken clouds
175,Kahului,US,20.8947,-156.47,77.85,89,40,13.8,scattered clouds
176,Panzhihua,CN,26.5851,101.7128,72.23,89,68,1.36,moderate rain
177,Dum Duma,IN,27.5667,95.5667,78.1,97,32,1.54,light rain
178,Russell,US,32.3502,-85.1999,90.63,66,40,6.91,scattered clouds
179,Essex,US,40.7834,-74.2163,83.73,44,40,3.0,scattered clouds
180,Longyearbyen,SJ,78.2186,15.6401,49.84,66,75,11.5,broken clouds
181,Oussouye,SN,12.485,-16.5469,83.8,56,27,12.01,scattered clouds
182,Mogadishu,SO,2.0371,45.3438,76.59,83,46,23.11,scattered clouds
183,Yatou,CN,37.15,122.3833,73.74,78,4,1.19,clear sky
184,Clyde River,CA,70.4692,-68.5914,37.63,87,90,27.63,overcast clouds
185,Lata,PT,40.1629,-8.3327,77.04,50,91,10.69,overcast clouds
186,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,94.59,25,1,8.23,clear sky
187,Mamallapuram,IN,12.6264,80.1722,86.05,63,99,15.32,overcast clouds
188,Arlit,NE,18.7369,7.3853,101.52,22,51,5.28,broken clouds
189,Beringovskiy,RU,63.05,179.3167,52.02,85,100,5.79,light rain
190,Ko Samui,TH,9.5357,99.9357,84.13,75,100,21.54,overcast clouds
191,College,US,64.8569,-147.8028,64.58,81,75,0.0,broken clouds
192,Parabel,RU,58.6978,81.4825,66.04,62,1,7.7,clear sky
193,Porto Novo,BJ,6.4965,2.6036,79.84,68,71,11.79,broken clouds
194,Fortuna,US,40.5982,-124.1573,66.92,78,20,1.01,few clouds
195,Digha,IN,21.6833,87.55,83.57,82,100,16.46,overcast clouds
196,Mount Gambier,AU,-37.8333,140.7667,46.31,100,90,14.97,overcast clouds
197,Norman Wells,CA,65.282,-126.8329,63.09,60,31,15.77,scattered clouds
198,Joura,IN,26.3411,77.8115,90.19,62,100,2.26,moderate rain
199,Ucluelet,CA,48.9329,-125.5528,59.09,87,100,1.01,overcast clouds
200,Murgab,TM,37.4966,61.9714,92.89,11,0,10.96,clear sky
201,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,57,60,8.93,broken clouds
202,Kytmanovo,RU,53.4593,85.4479,66.15,82,100,6.35,overcast clouds
203,Hendek,TR,40.7994,30.7481,71.92,65,59,8.52,broken clouds
204,Cherskiy,RU,68.75,161.3,39.43,85,0,6.04,clear sky
205,Baturaja,ID,-4.1333,104.1667,72.61,98,55,2.04,broken clouds
206,Kargasok,RU,59.0556,80.8572,67.1,62,5,8.93,clear sky
207,Bengkulu,ID,-3.8004,102.2655,76.19,85,72,3.85,broken clouds
208,Port Moresby,PG,-9.4431,147.1797,74.23,94,74,3.24,broken clouds
209,Masterton,NZ,-40.9597,175.6575,43.88,95,0,2.46,clear sky
210,Saskylakh,RU,71.9167,114.0833,59.32,82,37,5.77,light rain
211,Sorong,ID,-0.8833,131.25,78.42,91,100,13.94,light rain
212,Hit,IQ,33.6416,42.8251,101.12,15,0,11.01,clear sky
213,Lasa,IT,46.6166,10.7002,78.71,45,35,0.78,scattered clouds
214,Staropesterevo,RU,54.5001,86.4094,67.96,74,100,0.72,overcast clouds
215,Maua,BR,-23.6678,-46.4614,76.06,43,0,4.81,clear sky
216,Sarakhs,IR,36.5449,61.1577,94.35,12,0,7.29,clear sky
217,Puerto Quijarro,BO,-17.7833,-57.7667,97.29,16,0,6.53,clear sky
218,Quartucciu,IT,39.2519,9.1794,89.04,50,0,7.0,clear sky
219,Madras,IN,13.0878,80.2785,85.98,66,40,9.22,scattered clouds
220,Qasigiannguit,GL,68.8193,-51.1922,46.65,98,100,1.32,light rain
221,Ulladulla,AU,-35.35,150.4667,48.87,87,95,3.31,overcast clouds
222,Koksovyy,RU,48.1967,40.5989,75.99,36,53,9.55,broken clouds
223,Xixiang,CN,35.1628,112.865,74.75,89,54,3.33,broken clouds
224,Koslan,RU,63.4564,48.8989,50.36,92,100,2.28,overcast clouds
225,Khokhlovo,RU,59.1492,37.3998,57.22,76,79,6.53,broken clouds
226,Christchurch,NZ,-43.5333,172.6333,41.92,88,5,1.14,clear sky
227,Zhangjiakou,CN,40.81,114.8794,70.21,88,81,3.27,broken clouds
228,Waw,SS,7.7029,27.9953,77.32,73,55,3.51,broken clouds
229,Hervey Bay,AU,-25.2986,152.8535,70.03,82,38,23.02,scattered clouds
230,Mayo,US,38.8876,-76.5119,86.07,47,1,3.0,clear sky
231,Teguldet,RU,57.3064,88.1667,61.12,77,0,5.7,clear sky
232,Sao Filipe,CV,14.8961,-24.4956,73.47,78,25,11.65,scattered clouds
233,Lavrentiya,RU,65.5833,-171.0,43.47,81,100,4.54,overcast clouds
234,Santa Rosa,PH,14.3122,121.1114,80.91,91,100,15.57,light rain
235,Coahuayana,MX,18.7333,-103.6833,92.68,59,94,2.24,overcast clouds
236,Dikson,RU,73.5069,80.5464,44.58,68,29,10.09,scattered clouds
237,Tyumentsevo,RU,53.3224,81.498,68.88,69,99,0.54,overcast clouds
238,Mahebourg,MU,-20.4081,57.7,71.26,67,11,12.28,few clouds
239,Dalbandin,PK,28.8947,64.4101,97.05,10,26,6.69,scattered clouds
240,Merauke,ID,-8.4667,140.3333,74.21,84,38,10.47,scattered clouds
241,Aklavik,CA,68.2191,-135.0107,51.8,93,90,4.61,fog
242,Maniitsoq,GL,65.4167,-52.9,41.2,94,100,17.13,light rain
243,Tuatapere,NZ,-46.1333,167.6833,42.82,91,92,6.04,overcast clouds
244,Lagoa,PT,39.05,-27.9833,70.2,93,88,14.9,overcast clouds
245,Sur,OM,22.5667,59.5289,93.7,55,38,12.01,scattered clouds
246,Awjilah,LY,29.1081,21.2869,94.21,22,0,12.35,clear sky
247,Kavaratti,IN,10.5669,72.642,82.58,82,100,22.17,overcast clouds
248,Banda Aceh,ID,5.5577,95.3222,81.63,78,99,13.4,overcast clouds
249,Dekar,BW,-21.5333,21.9333,50.38,17,0,7.63,clear sky
250,Carmen,MX,18.6333,-91.8333,82.94,68,46,7.07,scattered clouds
251,Provideniya,RU,64.3833,-173.3,48.09,74,38,6.24,scattered clouds
252,Faanui,PF,-16.4833,-151.75,78.31,66,87,16.06,overcast clouds
253,Avera,US,33.194,-82.5271,90.91,47,64,5.86,broken clouds
